상품번호,코디 페이지 링크,코디 사진 링크,업로드 날짜,코디 이름,조회수,댓글수,성별
40225,https://www.musinsa.com/app/styles/views/40225,//image.musinsa.com/images/style/list/2024030415180500000052010.jpg,24.03.05,데이트 할래,1045,0,woman
40197,https://www.musinsa.com/app/styles/views/40197,//image.musinsa.com/images/style/list/2024030411181000000036046.jpg,24.03.04,하객 룩 추천,1896,0,woman
40191,https://www.musinsa.com/app/styles/views/40191,//image.musinsa.com/images/style/list/2024030410551200000093966.jpg,24.03.04,특별한 날,608,0,woman
40190,https://www.musinsa.com/app/styles/views/40190,//image.musinsa.com/images/style/list/2024030410522200000056972.jpg,24.03.04,화사한 컬러 매치,980,0,woman
40187,https://www.musinsa.com/app/styles/views/40187,//image.musinsa.com/images/style/list/2024030410435100000055587.jpg,24.03.04,데이트 코디,558,0,woman
40146,https://www.musinsa.com/app/styles/views/40146,//image.musinsa.com/images/style/list/2024022819005400000049061.jpg,24.02.29,특별한 날,1299,0,woman
40143,https://www.musinsa.com/app/styles/views/40143,//image.musinsa.com/images/style/list/2024022818532900000064784.jpg,24.02.29,디테일을 더해,917,0,woman
40132,https://www.musinsa.com/app/styles/views/40132,//image.musinsa.com/images/style/list/2024022818224000000022338.jpg,24.02.29,센스 있는 매치,567,0,woman
40070,https://www.musinsa.com/app/styles/views/40070,//image.musinsa.com/images/style/list/2024022620211800000044890.jpg,24.02.27,화사하게,1276,0,woman
40069,https://www.musinsa.com/app/styles/views/40069,//image.musinsa.com/images/style/list/2024022620183100000058930.jpg,24.02.27,특별한 하루,1100,0,woman
40066,https://www.musinsa.com/app/styles/views/40066,//image.musinsa.com/images/style/list/2024022620103200000035898.jpg,24.02.27,레이어드 코디,1167,0,woman
40065,https://www.musinsa.com/app/styles/views/40065,//image.musinsa.com/images/style/list/2024022620075800000097890.jpg,24.02.27,주말 데이트 룩,1564,0,woman
40064,https://www.musinsa.com/app/styles/views/40064,//image.musinsa.com/images/style/list/2024022620043600000073072.jpg,24.02.27,남다른 분위기,1007,0,woman
40063,https://www.musinsa.com/app/styles/views/40063,//image.musinsa.com/images/style/list/2024022619571200000029561.jpg,24.02.27,봄 스타일링,540,0,woman
40055,https://www.musinsa.com/app/styles/views/40055,//image.musinsa.com/images/style/list/2024022619104000000011186.jpg,24.02.27,센스 더하기,430,0,woman
