상품번호,코디 페이지 링크,코디 사진 링크,업로드 날짜,코디 이름,조회수,댓글수,성별
13029,https://www.musinsa.com/app/styles/views/13029,//image.musinsa.com/images/style/list/2019120310495500000089204.jpg,19.12.03,분위기 올킬!,811,1,woman
1331,https://www.musinsa.com/app/styles/views/1331,//image.musinsa.com/images/style/list/1477479020_ab0ef08a1a41b21ae8ffa70e365e437e.jpg,16.10.26,오버사이즈드 체스터필드 코트,2058,1,woman
1243,https://www.musinsa.com/app/styles/views/1243,//image.musinsa.com/images/style/list/1467783071_ff029b670b1388b97eae7173a19571a4.jpg,16.07.06,2293,2749,1,woman
1241,https://www.musinsa.com/app/styles/views/1241,//image.musinsa.com/images/style/list/1467782951_4772b44522a9b3801978dc210971bceb.jpg,16.07.06,2291,2391,1,woman
1231,https://www.musinsa.com/app/styles/views/1231,//image.musinsa.com/images/style/list/1465885403_daf83125e76411acab3f6e4fbc45d5db.jpg,16.06.14,2282,4282,1,woman
1170,https://www.musinsa.com/app/styles/views/1170,//image.musinsa.com/images/style/list/1462339408_c1b07375f8bca78907274ed95adcd88b.jpg,16.05.04,2223,1956,1,woman
40932,https://www.musinsa.com/app/styles/views/40932,//image.musinsa.com/images/style/list/2024032914580600000037021.jpg,24.04.01,스웨트셔츠 활용법,52,0,woman
40925,https://www.musinsa.com/app/styles/views/40925,//image.musinsa.com/images/style/list/2024032912392400000075958.jpg,24.04.01,누구나 좋아해,717,0,woman
40923,https://www.musinsa.com/app/styles/views/40923,//image.musinsa.com/images/style/list/2024032912405100000016062.jpg,24.04.01,완벽한 매치,319,0,woman
40922,https://www.musinsa.com/app/styles/views/40922,//image.musinsa.com/images/style/list/2024032912400200000005584.jpg,24.04.01,트위드의 계절,325,0,woman
40917,https://www.musinsa.com/app/styles/views/40917,//image.musinsa.com/images/style/list/2024032912343400000043862.jpg,24.04.01,화사한 하루,225,0,woman
40914,https://www.musinsa.com/app/styles/views/40914,//image.musinsa.com/images/style/list/2024032912300900000049152.jpg,24.04.01,취향 저격,361,0,woman
